period,test_year,model,ticker,weight
4,2015,BSS,XOM,0.00000007
4,2015,BSS,MRO,0.00000006
4,2015,BSS,ED,0.20039066
4,2015,BSS,T,0.03559138
4,2015,BSS,VZ,0.10036062
4,2015,BSS,NEM,0.00000003
5,2016,OLS,F,0.01207736
5,2016,OLS,CAT,0.00000039
5,2016,OLS,DIS,0.00606940
5,2016,OLS,MCD,0.00000576
5,2016,OLS,KO,0.00000024
5,2016,OLS,PEP,0.19403573
5,2016,OLS,WMT,0.05235088
5,2016,OLS,C,0.00000024
5,2016,OLS,WFC,0.39341030
5,2016,OLS,JPM,0.00923617
5,2016,OLS,AAPL,0.00010863
5,2016,OLS,IBM,0.00000027
5,2016,OLS,PFE,0.00000054
5,2016,OLS,JNJ,0.00000402
5,2016,OLS,XOM,0.00000016
5,2016,OLS,MRO,0.00000006
5,2016,OLS,ED,0.15427962
5,2016,OLS,T,0.12972802
5,2016,OLS,VZ,0.04651350
5,2016,OLS,NEM,0.00217872
5,2016,FF,F,0.00000358
5,2016,FF,CAT,0.00000022
5,2016,FF,DIS,0.05368666
5,2016,FF,MCD,0.00000310
5,2016,FF,KO,0.00000195
5,2016,FF,PEP,0.20696577
5,2016,FF,WMT,0.08657209
5,2016,FF,C,0.00000028
5,2016,FF,WFC,0.30032682
5,2016,FF,JPM,0.00000070
5,2016,FF,AAPL,0.00000076
5,2016,FF,IBM,0.00000034
5,2016,FF,PFE,0.00006390
5,2016,FF,JNJ,0.05203933
5,2016,FF,XOM,0.00000036
5,2016,FF,MRO,0.00000011
5,2016,FF,ED,0.14841106
5,2016,FF,T,0.10794439
5,2016,FF,VZ,0.04397825
5,2016,FF,NEM,0.00000033
5,2016,LASSO,F,0.00286763
5,2016,LASSO,CAT,0.00000003
5,2016,LASSO,DIS,0.08576057
5,2016,LASSO,MCD,0.05870729
5,2016,LASSO,KO,0.05487523
5,2016,LASSO,PEP,0.17172184
5,2016,LASSO,WMT,0.03704132
5,2016,LASSO,C,0.00000011
5,2016,LASSO,WFC,0.19579143
5,2016,LASSO,JPM,0.00000099
5,2016,LASSO,AAPL,0.01193719
5,2016,LASSO,IBM,0.00000015
5,2016,LASSO,PFE,0.06054081
5,2016,LASSO,JNJ,0.10712705
5,2016,LASSO,XOM,0.00000012
5,2016,LASSO,MRO,0.00000001
